NU_ANO_CENSO;CO_ENTIDADE;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;11000597;Informação e comunicação;6;Informática;6073;1;26;1;26;0;0;0;0;0;0;0;0;0;0
2025;11000880;Informação e comunicação;6;Informática;6073;1;41;1;41;0;0;0;0;0;0;0;0;0;0
2025;11000880;Informação e comunicação;6;Redes de Computadores;6077;1;69;1;69;0;0;0;0;0;0;0;0;0;0
2025;11001364;Informação e comunicação;6;Informática;6073;1;35;1;35;0;0;0;0;0;0;0;0;0;0
2025;11015896;Recursos naturais;12;Agropecuária;12174;1;211;1;211;0;0;0;0;0;0;0;0;0;0
2025;11025670;Informação e comunicação;6;Desenvolvimento de Sistemas;6082;1;68;1;68;0;0;0;0;0;0;0;0;0;0
2025;11027355;Recursos naturais;12;Agropecuária;12174;1;104;0;0;0;0;1;104;0;0;0;0;0;0
2025;11030216;Recursos naturais;12;Agropecuária;12174;1;197;1;197;0;0;0;0;0;0;0;0;0;0
2025;11033215;Informação e comunicação;6;Outros - Eixo Informação e Comunicação;6999;1;71;1;71;0;0;0;0;0;0;0;0;0;0
2025;11033428;Informação e comunicação;6;Informática;6073;1;41;1;41;0;0;0;0;0;0;0;0;0;0
2025;11037016;Recursos naturais;12;Agropecuária;12174;1;570;1;570;0;0;0;0;0;0;0;0;0;0
2025;11046422;Ambiente e saúde;1;Enfermagem;1006;1;24;0;0;0;0;0;0;1;24;0;0;0;0
